"PVWatts Hourly PV Performance Data"
"Requested Location","Brisbane"
"Location","Lat, Lng: -27.47, 153.02"
"Latitude (DD)","-27.47"
"Longitude (DD)","153.02"
"Elevation (m)","18"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","2","4","0","0","21.8","2.4","0.2","0","0","0","0"
"1","2","5","0","18","22.7","3","0.2","16.707","23.031","46.719","29.209"
"1","2","6","11","82","24.1","3.6","0.2","77.983","25.533","249.577","224.879"
"1","2","7","99","304","25.5","3.7","0.2","320.16","31.289","1048.368","995.366"
"1","2","8","93","441","27.2","3.6","0.2","469.617","35.8","1509.204","1439.873"
"1","2","9","180","575","28.2","3.6","0.2","687.525","40.767","2160.262","2067.861"
"1","2","10","898","154","30.6","3.3","0.2","967.505","49.195","2964.668","2843.764"
"1","2","11","85","678","31.5","3.2","0.2","731.491","45.701","2230.256","2135.375"
"1","2","12","115","689","32","3.4","0.2","769.454","46.472","2341.303","2242.487"
"1","2","13","47","572","32.2","3.8","0.2","585.224","42.557","1809.072","1729.115"
"1","2","14","127","545","31.8","4.3","0.2","609.111","41.86","1905.189","1821.826"
"1","2","15","80","398","31","4.9","0.2","415.617","37.354","1327.794","1264.891"
"1","2","16","34","214","29.8","5.5","0.2","208.16","32.763","669.92","630.328"
"1","2","17","16","91","28","5.8","0.2","84.821","29.165","266.738","241.432"
"1","2","18","0","10","26.4","5.6","0.2","9.273","26.515","18.103","1.608"
"1","2","19","0","0","25.6","5.1","0.2","0","25.6","0","0"
"1","2","20","0","0","25.3","4","0.2","0","25.3","0","0"
"1","2","21","0","0","25.1","2.8","0.2","0","25.1","0","0"
"1","2","22","0","0","25.1","2.5","0.2","0","25.1","0","0"
"1","2","23","0","0","25","3.7","0.2","0","25","0","0"
"1","3","0","0","0","24.8","4.8","0.2","0","24.8","0","0"
"1","3","1","0","0","24.5","4.7","0.2","0","24.5","0","0"
"1","3","2","0","0","24.2","4.1","0.2","0","24.2","0","0"
"1","3","3","0","0","23.9","3.5","0.2","0","23.9","0","0"
"1","3","4","0","0","23.8","3.2","0.2","0","0","0","0"
"1","3","5","182","38","24.7","3.5","0.2","28.967","25.229","81.767","63.015"
"1","3","6","516","92","26.2","3.7","0.2","187.374","29.463","533.72","498.954"
"1","3","7","683","124","28.1","3.5","0.2","412.673","35.789","1332.171","1269.113"
"1","3","8","775","146","30.4","3.2","0.2","635.031","42.845","2025.461","1937.837"
"1","3","9","828","162","31.6","3","0.2","821.786","48.211","2543.561","2437.578"
"1","3","10","808","199","34.3","2.9","0.2","932.94","53.451","2805.554","2690.288"
"1","3","11","767","239","35.4","3.2","0.2","979.314","54.504","2920.631","2801.287"
"1","3","12","726","264","35.9","3.8","0.2","957.707","52.917","2875.231","2757.496"
"1","3","13","774","211","35.7","4.8","0.2","897.831","49.608","2746.482","2633.309"
"1","3","14","694","217","35","5.8","0.2","741.773","45.189","2324.346","2226.131"
"1","3","15","632","188","33.9","6.6","0.2","552.261","40.867","1773.83","1695.122"
"1","3","16","79","260","32.8","7.1","0.2","265.456","35.975","848.286","802.374"
"1","3","17","52","117","31.1","7.3","0.2","110.313","32.388","340.637","312.713"
"1","3","18","0","17","29.5","7","0.2","15.788","29.67","31.908","14.923"
"1","3","19","0","0","28.5","6.4","0.2","0","28.5","0","0"
"1","3","20","0","0","28.1","6.3","0.2","0","28.1","0","0"
"1","3","21","0","0","27.8","6.4","0.2","0","27.8","0","0"
"1","3","22","0","0","27.3","6.2","0.2","0","27.3","0","0"
"1","3","23","0","0","26.8","5.6","0.2","0","26.8","0","0"
"1","4","0","0","0","26.3","5","0.2","0","26.3","0","0"
"1","4","1","0","0","26","4.5","0.2","0","26","0","0"
"1","4","2","0","0","25.7","4.2","0.2","0","25.7","0","0"
"1","4","3","0","0","25.5","4.1","0.2","0","25.5","0","0"
"1","4","4","0","0","25.6","4.2","0.2","0","0","0","0"
"1","4","5","155","39","26.6","4.8","0.2","31.159","27.072","86.844","67.913"
"1","4","6","517","91","28.4","5.3","0.2","185.648","31.003","523.831","489.415"
"1","4","7","703","119","30.6","5.2","0.2","415.472","36.724","1335.704","1272.52"
"1","4","8","800","137","32.9","4.5","0.2","641.725","43.281","2044.324","1956.031"
"1","4","9","846","156","34","4","0.2","829.829","48.358","2567.482","2460.652"
"1","4","10","867","168","37","3.1","0.2","957.129","56.002","2848.777","2731.98"
"1","4","11","865","180","38.6","2.7","0.2","1013.789","60.14","2953.971","2833.446"
"1","4","12","853","186","39.6","2.4","0.2","1001.693","62.079","2894.8","2776.372"
"1","4","13","867","160","39.9","1.9","0.2","930.347","62.955","2689.833","2578.667"
"1","4","14","806","162","39.4","1.3","0.2","775.125","61.357","2271.105","2174.776"
"1","4","15","733","149","38.1","1.3","0.2","576.056","54.457","1751.541","1673.622"
"1","4","16","614","126","35.9","2.9","0.2","349.979","43.059","1074.107","1020.193"
"1","4","17","390","89","32.8","5","0.2","133.125","34.72","354.613","326.194"
"1","4","18","24","18","29.9","6","0.2","15.987","30.092","32.882","15.863"
"1","4","19","0","0","28.1","5.9","0.2","0","28.1","0","0"
"1","4","20","0","0","27","5.7","0.2","0","27","0","0"
"1","4","21","0","0","26.4","5.5","0.2","0","26.4","0","0"
"1","4","22","0","0","26","5.3","0.2","0","26","0","0"
"1","4","23","0","0","25.7","5.1","0.2","0","25.7","0","0"
"1","5","0","0","0","25.3","4.9","0.2","0","25.3","0","0"
"1","5","1","0","0","25.1","4.7","0.2","0","25.1","0","0"
"1","5","2","0","0","24.9","4.6","0.2","0","24.9","0","0"
"1","5","3","0","0","24.7","4.5","0.2","0","24.7","0","0"
"1","5","4","0","0","24.7","4.4","0.2","0","0","0","0"
"1","5","5","127","38","25.2","4.5","0.2","30.392","25.678","84.418","65.572"
"1","5","6","446","103","26.2","4.5","0.2","180.036","29.01","520.033","485.752"
"1","5","7","622","143","27.4","4.3","0.2","402.17","34.065","1305.97","1243.84"
"1","5","8","725","170","28.7","4.1","0.2","624.479","39.372","2018.2","1930.833"
"1","5","9","771","196","29.3","4.1","0.2","808.909","43.092","2554.576","2448.203"
"1","5","10","26","349","30.4","4","0.2","355.184","36.503","1113.577","1058.264"
"1","5","11","27","553","31","4","0.2","548.45","40.416","1702.1","1625.933"
"1","5","12","81","669","31.4","4","0.2","718.381","43.74","2208.462","2114.353"
"1","5","13","665","289","31.5","4.1","0.2","876.676","46.421","2711.691","2599.75"
"1","5","14","617","268","31.2","4.2","0.2","732.876","43.516","2307.938","2210.304"
"1","5","15","552","228","30.4","4.2","0.2","543.241","39.551","1750.33","1672.455"
"1","5","16","454","173","29.3","4.1","0.2","332.181","34.945","1058.89","1005.515"
"1","5","17","278","105","27.9","3.9","0.2","132.108","30.148","377.808","348.567"
"1","5","18","23","15","26.8","3.5","0.2","13.515","27.027","28.471","11.608"
"1","5","19","0","0","26.2","3.2","0.2","0","26.2","0","0"
"1","5","20","0","0","26","3","0.2","0","26","0","0"
"1","5","21","0","0","25.9","2.9","0.2","0","25.9","0","0"
"1","5","22","0","0","25.8","2.8","0.2","0","25.8","0","0"
"1","5","23","0","0","25.8","2.8","0.2","0","25.8","0","0"
"1","6","0","0","0","25.7","2.9","0.2","0","25.7","0","0"
"1","6","1","0","0","25.6","3","0.2","0","25.6","0","0"
"1","6","2","0","0","25.5","3","0.2","0","25.5","0","0"
"1","6","3","0","0","25.4","3.2","0.2","0","25.4","0","0"
"1","6","4","0","0","25.6","3.6","0.2","0","25.6","0","0"
"1","6","5","0","4","26.3","4.2","0.2","3.704","26.361","9.067","0"
"1","6","6","0","18","27.6","4.4","0.2","16.703","27.874","49.414","31.809"
"1","6","7","74","288","29","4.1","0.2","294.668","34.026","952.338","902.739"
"1","6","8","59","411","30.4","3.4","0.2","420.259","38.338","1333.088","1269.997"
"1","6","9","666","259","31","3","0.2","784.377","46.841","2434.523","2332.404"
"1","6","10","550","373","32.3","2.1","0.2","866.106","52.869","2599.153","2491.201"
"1","6","11","116","696","32.3","1.9","0.2","779.605","51.505","2322.038","2223.905"
"1","6","12","29","562","31.9","2","0.2","558.621","45.374","1699.529","1623.454"
"1","6","13","113","638","31.5","2.5","0.2","708.118","47.034","2155.708","2063.469"
"1","6","14","25","382","30.8","3.1","0.2","376.18","38.24","1180.521","1122.836"
"1","6","15","25","240","29.8","3.6","0.2","237.757","34.155","756.488","713.829"
"1","6","16","1","50","28.6","3.8","0.2","46.884","29.436","143.868","122.916"
"1","6","17","0","22","27.4","3.6","0.2","20.417","27.776","60.969","42.954"
"1","6","18","0","6","26.5","3.1","0.2","5.558","26.6","11.326","0"
"1","6","19","0","0","26","2.5","0.2","0","26","0","0"
"1","6","20","0","0","25.8","1.9","0.2","0","25.8","0","0"
"1","6","21","0","0","25.6","1.7","0.2","0","25.6","0","0"
"1","6","22","0","0","25.4","1.8","0.2","0","25.4","0","0"
"1","6","23","0","0","25.2","1.9","0.2","0","25.2","0","0"
"1","7","0","0","0","24.9","2.1","0.2","0","24.9","0","0"
"1","7","1","0","0","24.7","2.7","0.2","0","24.7","0","0"
"1","7","2","0","0","24.4","3.6","0.2","0","24.4","0","0"
"1","7","3","0","0","24","4.5","0.2","0","24","0","0"
"1","7","4","0","0","23.7","5.1","0.2","0","23.7","0","0"
"1","7","5","0","7","23.8","5.5","0.2","6.485","23.889","16.403","0"
"1","7","6","0","31","24.2","6.1","0.2","28.789","24.584","88.963","69.956"
"1","7","7","23","152","25","6.6","0.2","150.785","26.898","490.799","457.554"
"1","7","8","40","377","26","6.8","0.2","376.894","30.633","1229.799","1170.368"
"1","7","9","738","229","26.5","6.8","0.2","813.152","36.519","2634.098","2524.907"
"1","7","10","696","303","27.7","6.7","0.2","932.161","39.284","2963.467","2842.605"
"1","7","11","759","278","28.1","6.7","0.2","1010.111","40.649","3185.82","3057.08"
"1","7","12","790","256","28.3","6.7","0.2","1014.356","40.904","3198.254","3069.073"
"1","7","13","765","250","28","6.9","0.2","931.152","39.343","2966.017","2845.065"
"1","7","14","732","227","27.4","7.1","0.2","784.941","36.786","2543.767","2437.777"
"1","7","15","672","196","26.7","7.3","0.2","588.114","33.612","1945.828","1861.025"
"1","7","16","573","154","25.8","7.2","0.2","362.105","30.071","1177.796","1120.207"
"1","7","17","384","100","24.8","6.8","0.2","144.051","26.503","405.866","375.63"
"1","7","18","32","21","23.9","6.2","0.2","18.419","24.12","41.044","23.736"
"1","7","19","0","0","23.5","5.8","0.2","0","23.5","0","0"
"1","7","20","0","0","23.4","5.5","0.2","0","23.4","0","0"
"1","7","21","0","0","23.2","5.4","0.2","0","23.2","0","0"
"1","7","22","0","0","23.1","5.3","0.2","0","23.1","0","0"
"1","7","23","0","0","22.9","5.2","0.2","0","22.9","0","0"
"1","8","0","0","0","22.8","5.2","0.2","0","22.8","0","0"
"1","8","1","0","0","22.6","5.1","0.2","0","22.6","0","0"
"1","8","2","0","0","22.4","4.9","0.2","0","22.4","0","0"
"1","8","3","0","0","22.2","4.7","0.2","0","22.2","0","0"
"1","8","4","0","0","22.4","4.7","0.2","0","22.4","0","0"
"1","8","5","96","39","23.4","5.2","0.2","31.038","23.841","83.83","65.006"
"1","8","6","0","36","24.7","5.8","0.2","33.442","25.161","103.813","84.28"
"1","8","7","42","253","25.7","5.9","0.2","249.841","29.094","820.162","775.246"
"1","8","8","761","169","26.4","5.8","0.2","643.853","35.264","2116.764","2025.904"
"1","8","9","66","528","26.8","5.8","0.2","551.323","34.336","1769.814","1691.249"
"1","8","10","717","298","27.4","5.7","0.2","946.682","40.527","2994.941","2872.964"
"1","8","11","771","277","27.7","5.6","0.2","1021.222","42.021","3202.872","3073.528"
"1","8","12","50","625","27.8","5.7","0.2","646.858","36.723","2043.008","1954.762"
"1","8","13","80","614","27.5","5.8","0.2","656.363","36.461","2083.376","1993.699"
"1","8","14","94","532","27","6","0.2","573.848","34.673","1844.47","1763.259"
"1","8","15","31","322","26.1","6.2","0.2","317.142","30.257","1034.037","981.542"
"1","8","16","54","243","25.1","6.2","0.2","242.353","28.285","797.932","753.804"
"1","8","17","30","107","24.1","6","0.2","99.835","25.439","319.495","292.32"
"1","8","18","0","16","23.4","5.7","0.2","14.856","23.583","30.682","13.74"
"1","8","19","0","0","23.1","5.3","0.2","0","23.1","0","0"
"1","8","20","0","0","22.9","5.1","0.2","0","22.9","0","0"
"1","8","21","0","0","22.8","4.9","0.2","0","22.8","0","0"
"1","8","22","0","0","22.6","4.7","0.2","0","22.6","0","0"
"1","8","23","0","0","22.5","4.6","0.2","0","22.5","0","0"
"1","9","0","0","0","22.4","4.4","0.2","0","22.4","0","0"
"1","9","1","0","0","22.2","4.2","0.2","0","22.2","0","0"
"1","9","2","0","0","22","4.1","0.2","0","22","0","0"
"1","9","3","0","0","21.8","4.1","0.2","0","21.8","0","0"
"1","9","4","0","0","21.9","4.4","0.2","0","21.9","0","0"
"1","9","5","182","35","22.2","4.8","0.2","26.846","22.602","72.837","54.402"
"1","9","6","0","18","22.8","5.1","0.2","16.702","23.05","50.609","32.962"
"1","9","7","10","69","23.7","5.3","0.2","68.827","24.703","218.999","195.385"
"1","9","8","26","211","24.8","5.4","0.2","213.991","27.873","695.111","654.626"
"1","9","9","25","379","25.4","5.3","0.2","374.59","30.829","1209.722","1151.003"
"1","9","10","62","605","26.4","5.3","0.2","633.548","35.571","2015.176","1927.916"
"1","9","11","39","598","26.6","5.2","0.2","610.919","35.544","1936.713","1852.233"
"1","9","12","117","685","26.6","5","0.2","769.689","38.16","2422.534","2320.84"
"1","9","13","119","635","26.6","4.8","0.2","711.73","37.575","2252.125","2156.469"
"1","9","14","891","130","26.4","4.8","0.2","814.094","39.038","2622.689","2513.902"
"1","9","15","57","379","26","4.7","0.2","386.561","32.063","1258.327","1197.885"
"1","9","16","724","102","25.4","4.6","0.2","375.518","31.351","1212.746","1153.92"
"1","9","17","536","73","24.5","4.3","0.2","145.595","26.767","384.343","354.87"
"1","9","18","0","15","23.6","3.9","0.2","13.924","23.817","28.894","12.016"
"1","9","19","0","0","23","3.7","0.2","0","23","0","0"
"1","9","20","0","0","22.6","3.7","0.2","0","22.6","0","0"
"1","9","21","0","0","22.4","3.7","0.2","0","22.4","0","0"
"1","9","22","0","0","22.1","3.6","0.2","0","22.1","0","0"
"1","9","23","0","0","22","3.3","0.2","0","22","0","0"
"1","10","0","0","0","21.8","3.2","0.2","0","21.8","0","0"
"1","10","1","0","0","21.6","3.2","0.2","0","21.6","0","0"
"1","10","2","0","0","21.4","3.1","0.2","0","21.4","0","0"
"1","10","3","0","0","21.2","3.1","0.2","0","21.2","0","0"
"1","10","4","0","0","21.3","3.3","0.2","0","21.3","0","0"
"1","10","5","221","32","22","3.8","0.2","24.469","22.419","65.025","46.866"
"1","10","6","613","70","23.1","4.3","0.2","178.665","25.912","492.62","459.31"
"1","10","7","792","88","24.3","4.6","0.2","418.566","30.955","1373.384","1308.865"
"1","10","8","25","289","25.5","4.7","0.2","284.443","29.958","923.916","875.324"
"1","10","9","26","292","26","4.7","0.2","296.384","30.634","952.651","903.041"
"1","10","10","28","304","27","4.8","0.2","314.3","31.843","1001.642","950.295"
"1","10","11","31","210","27.4","4.9","0.2","229.94","30.897","727.761","686.119"
"1","10","12","31","219","27.3","4.9","0.2","238.311","30.924","755.11","712.5"
"1","10","13","24","136","27","4.8","0.2","150.308","29.318","473.214","440.592"
"1","10","14","25","305","26.6","4.6","0.2","307.008","31.465","985.426","934.654"
"1","10","15","58","381","26.1","4.5","0.2","389.258","32.369","1265.735","1205.03"
"1","10","16","163","277","25.3","4.3","0.2","314.989","30.521","1032.405","979.969"
"1","10","17","23","102","24.3","3.8","0.2","94.877","25.989","303.256","276.656"
"1","10","18","112","22","23.3","3.3","0.2","16.696","23.587","35.236","18.133"
"1","10","19","0","0","22.9","3.1","0.2","0","22.9","0","0"
"1","10","20","0","0","22.6","2.9","0.2","0","22.6","0","0"
"1","10","21","0","0","22.4","2.7","0.2","0","22.4","0","0"
"1","10","22","0","0","22.1","2.6","0.2","0","22.1","0","0"
"1","10","23","0","0","21.9","2.4","0.2","0","21.9","0","0"
"1","11","0","0","0","21.7","2.3","0.2","0","21.7","0","0"
"1","11","1","0","0","21.5","2.2","0.2","0","21.5","0","0"
"1","11","2","0","0","21.4","2.1","0.2","0","21.4","0","0"
"1","11","3","0","0","21.4","2","0.2","0","21.4","0","0"
"1","11","4","0","0","21.7","1.9","0.2","0","21.7","0","0"
"1","11","5","248","29","22.6","2.3","0.2","22.529","23.097","59.803","41.83"
"1","11","6","17","104","23.8","2.7","0.2","98.051","25.889","315.722","288.681"
"1","11","7","71","276","25","2.7","0.2","282.269","31.01","922.788","874.235"
"1","11","8","877","97","25.9","2.8","0.2","645.303","39.438","2093.109","2003.087"
"1","11","9","925","106","26.3","2.8","0.2","839.015","43.862","2649.693","2539.95"
"1","11","10","25","475","27.3","3.2","0.2","469.941","36.426","1482.6","1414.211"
"1","11","11","28","170","27.7","3.5","0.2","188.869","31.197","593.154","556.282"
"1","11","12","23","451","27.8","3.7","0.2","447.613","35.833","1410.99","1345.139"
"1","11","13","931","127","27.8","3.9","0.2","960.082","44.641","3002.591","2880.343"
"1","11","14","903","119","27.6","4.1","0.2","815.7","41.523","2602.522","2494.45"
"1","11","15","852","106","27.2","4.2","0.2","615.777","37.589","2013.794","1926.583"
"1","11","16","756","90","26.4","4.2","0.2","380.466","32.768","1222.848","1163.663"
"1","11","17","574","65","25.4","3.9","0.2","145.788","27.789","377.027","347.813"
"1","11","18","149","21","24.4","3.3","0.2","15.901","24.673","33.43","16.391"
"1","11","19","0","0","23.7","2.8","0.2","0","23.7","0","0"
"1","11","20","0","0","23.3","2.4","0.2","0","23.3","0","0"
"1","11","21","0","0","23","2.1","0.2","0","23","0","0"
"1","11","22","0","0","22.7","1.8","0.2","0","22.7","0","0"
"1","11","23","0","0","22.4","1.6","0.2","0","22.4","0","0"
"1","12","0","0","0","22.3","1.4","0.2","0","22.3","0","0"
"1","12","1","0","0","22.3","1.2","0.2","0","22.3","0","0"
"1","12","2","0","0","22.2","1.1","0.2","0","22.2","0","0"
"1","12","3","0","0","21.9","1.1","0.2","0","21.9","0","0"
"1","12","4","0","0","21.8","1.3","0.2","0","21.8","0","0"
"1","12","5","248","29","22.7","1.7","0.2","22.697","23.262","59.063","41.116"
"1","12","6","636","68","24.3","2.1","0.2","178.953","28.333","483.922","450.921"
"1","12","7","808","87","25.7","2.4","0.2","422.126","35.174","1360.965","1296.886"
"1","12","8","898","99","26.7","2.8","0.2","659.528","40.537","2130.253","2038.916"
"1","12","9","949","107","27.2","3","0.2","858.599","44.567","2703.534","2591.882"
"1","12","10","942","134","28.3","3.8","0.2","988.487","45.894","3072.293","2947.575"
"1","12","11","959","134","28.8","4.3","0.2","1058.752","46.332","3272.932","3141.104"
"1","12","12","964","130","28.9","4.8","0.2","1056.255","45.262","3280.49","3148.395"
"1","12","13","957","121","28.6","5.1","0.2","978.938","43.21","3078.995","2954.04"
"1","12","14","926","115","28.1","5.2","0.2","831.052","40.369","2663.906","2553.659"
"1","12","15","875","103","27.3","5.1","0.2","627.864","36.708","2061.165","1972.276"
"1","12","16","787","86","26.3","4.9","0.2","389.948","32.245","1257.015","1196.62"
"1","12","17","616","62","25","4.4","0.2","150.437","27.289","386.428","356.881"
"1","12","18","193","20","23.9","3.7","0.2","14.913","24.141","31.41","14.443"
"1","12","19","0","0","23.3","3.2","0.2","0","23.3","0","0"
"1","12","20","0","0","23","2.8","0.2","0","23","0","0"
"1","12","21","0","0","22.7","2.6","0.2","0","22.7","0","0"
"1","12","22","0","0","22.5","2.5","0.2","0","22.5","0","0"
"1","12","23","0","0","22.3","2.5","0.2","0","22.3","0","0"
"1","13","0","0","0","22.1","2.6","0.2","0","22.1","0","0"
"1","13","1","0","0","21.9","2.7","0.2","0","21.9","0","0"
"1","13","2","0","0","21.7","2.8","0.2","0","21.7","0","0"
"1","13","3","0","0","21.7","2.9","0.2","0","21.7","0","0"
"1","13","4","0","0","22.1","3.2","0.2","0","22.1","0","0"
"1","13","5","292","26","23.1","3.8","0.2","19.975","23.438","50.379","32.74"
"1","13","6","0","17","24.5","4.4","0.2","15.773","24.759","47.244","29.716"
"1","13","7","832","78","25.6","4.8","0.2","422.415","32.14","1377.725","1313.053"
"1","13","8","915","89","26.6","4.9","0.2","659.741","36.736","2164.724","2072.165"
"1","13","9","960","99","27.1","5","0.2","859.24","40.104","2755.6","2642.104"
"1","13","10","944","133","28","5.4","0.2","989.502","42.234","3121.632","2995.166"
"1","13","11","141","695","28.2","5.5","0.2","804.892","39.574","2519.924","2414.779"
"1","13","12","29","554","28.3","5.7","0.2","551.92","35.912","1745.141","1667.449"
"1","13","13","957","122","28.1","5.8","0.2","981.131","41.57","3106.135","2980.218"
"1","13","14","928","113","27.8","5.8","0.2","832.088","39.242","2679.361","2568.566"
"1","13","15","877","101","27.1","5.7","0.2","628.562","35.865","2070.505","1981.284"
"1","13","16","789","85","26.3","5.5","0.2","391.023","31.838","1263.372","1202.751"
"1","13","17","614","62","25.2","5","0.2","151.023","27.326","388.857","359.224"
"1","13","18","185","21","24.2","4.2","0.2","15.818","24.438","33.381","16.344"
"1","13","19","0","0","23.5","3.7","0.2","0","23.5","0","0"
"1","13","20","0","0","23.2","3.4","0.2","0","23.2","0","0"
"1","13","21","0","0","23","3.2","0.2","0","23","0","0"
"1","13","22","0","0","22.8","3.1","0.2","0","22.8","0","0"
"1","13","23","0","0","22.7","3.1","0.2","0","22.7","0","0"
"1","14","0","0","0","22.6","3.1","0.2","0","22.6","0","0"
"1","14","1","0","0","22.5","3.1","0.2","0","22.5","0","0"
"1","14","2","0","0","22.4","3","0.2","0","22.4","0","0"
"1","14","3","0","0","22.3","2.9","0.2","0","22.3","0","0"
"1","14","4","0","0","22.5","3","0.2","0","22.5","0","0"
"1","14","5","270","26","23.3","3.4","0.2","19.925","23.659","50.605","32.958"
"1","14","6","670","60","24.3","3.9","0.2","177.398","27.231","474.299","441.638"
"1","14","7","833","78","25.4","4","0.2","421.771","32.682","1372.075","1307.602"
"1","14","8","923","87","26.5","4.2","0.2","662.027","37.669","2164.644","2072.088"
"1","14","9","970","95","27","4.2","0.2","862.949","41.524","2752.213","2638.837"
"1","14","10","987","106","28.1","4.7","0.2","1003.075","43.854","3145.33","3018.025"
"1","14","11","1002","107","28.5","5","0.2","1076.188","44.753","3349.361","3214.826"
"1","14","12","1002","106","28.6","5.2","0.2","1072.21","44.396","3342.598","3208.302"
"1","14","13","97","626","28.4","5.3","0.2","685.39","38.326","2160.716","2068.299"
"1","14","14","40","468","28","5.3","0.2","473.512","34.866","1514.119","1444.613"
"1","14","15","53","376","27.3","5.3","0.2","382.706","32.865","1241.149","1181.316"
"1","14","16","834","73","26.3","5.2","0.2","398.383","32.15","1285.89","1224.472"
"1","14","17","671","53","25.1","4.9","0.2","154.327","27.286","390.427","360.738"
"1","14","18","245","19","24.1","4.5","0.2","14.032","24.302","29.386","12.49"
"1","14","19","0","0","23.6","4.2","0.2","0","23.6","0","0"
"1","14","20","0","0","23.4","4.2","0.2","0","23.4","0","0"
"1","14","21","0","0","23.4","4","0.2","0","23.4","0","0"
"1","14","22","0","0","23.3","3.8","0.2","0","23.3","0","0"
"1","14","23","0","0","23.1","3.6","0.2","0","23.1","0","0"
"1","15","0","0","0","22.9","3.4","0.2","0","22.9","0","0"
"1","15","1","0","0","22.7","3.2","0.2","0","22.7","0","0"
"1","15","2","0","0","22.5","3","0.2","0","22.5","0","0"
"1","15","3","0","0","22.3","2.8","0.2","0","22.3","0","0"
"1","15","4","0","0","22.5","2.9","0.2","0","22.5","0","0"
"1","15","5","318","24","23.4","3.4","0.2","18.201","23.725","44.739","27.299"
"1","15","6","703","54","24.6","3.9","0.2","176.585","27.503","465.025","432.694"
"1","15","7","857","69","25.7","4.2","0.2","423.079","32.799","1374.93","1310.357"
